Project, BugID, Model   , CoverageSuccess, TestPassed, LineCoverage(%), BranchCoverage(%), LinesCovered, LinesValid, BranchesCovered, BranchesValid
Jsoup  ,     4, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Jsoup  ,     5, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Jsoup  ,     6, qwen    , No             , Yes       ,                ,                  ,             ,           ,                ,              
Jsoup  ,     7, qwen    , Yes            , Yes       ,          100.0 ,             96.15,           80,         80,              25,            26
Jsoup  ,     8, qwen    , Yes            , Yes       ,           93.53,             82.5 ,          130,        139,              33,            40
Jsoup  ,     9, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
Jsoup  ,    11, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Jsoup  ,    13, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
Jsoup  ,    14, deepseek, Yes            , Yes       ,           54.0 ,             49.3 ,          709,       1313,             212,           430
Jsoup  ,    14, qwen    , Yes            , Yes       ,           54.0 ,             49.3 ,          709,       1313,             212,           430
Jsoup  ,    15, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,     1, deepseek, Yes            , Yes       ,           98.13,             87.28,          368,        375,             295,           338
Lang   ,     1, qwen    , Yes            , Yes       ,           98.13,             87.28,          368,        375,             295,           338
Lang   ,     3, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,     3, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,     4, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,     4, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,     5, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,     5, qwen    , Yes            , Yes       ,          100.0 ,             96.43,           82,         82,              54,            56
Lang   ,     6, deepseek, Yes            , Yes       ,           93.33,            100.0 ,           28,         30,              12,            12
Lang   ,     6, qwen    , Yes            , Yes       ,           93.33,            100.0 ,           28,         30,              12,            12
Lang   ,     9, deepseek, Yes            , Yes       ,           92.31,             85.37,          252,        273,             105,           123
Lang   ,     9, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,    10, deepseek, Yes            , Yes       ,           91.4 ,             83.46,          255,        279,             106,           127
Lang   ,    10, qwen    , Yes            , Yes       ,           91.4 ,             83.46,          255,        279,             106,           127
Lang   ,    11, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,    11, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,    12, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,    12, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,    13, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,    13, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,    14, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,    14, qwen    , No             , No        ,                ,                  ,             ,           ,                ,              
Lang   ,    16, deepseek, Yes            , Yes       ,           95.73,             84.64,          359,        375,             303,           358
Lang   ,    16, qwen    , Yes            , Yes       ,           95.73,             84.64,          359,        375,             303,           358
Lang   ,    17, deepseek, Yes            , Yes       ,           93.94,            100.0 ,           31,         33,              14,            14
Lang   ,    17, qwen    , Yes            , Yes       ,           93.94,            100.0 ,           31,         33,              14,            14
Lang   ,    19, deepseek, No             , No        ,                ,                  ,             ,           ,                ,              
